Country,Female_Life_Expectancy,Life_Expectancy_Both,Male_Life_Expectancy,Life_Expectancy_Gap,Predicted_Life_Expectancy
Sweden,85.22,83.42,81.65,3.569999999999993,83.42781200834747
Italy,85.87,83.87,81.75,4.1200000000000045,83.80614282932268
Qatar,83.48,82.52,81.78,1.7000000000000028,82.61200072263347
Japan,87.88,84.85,81.83,6.049999999999997,84.8625349971059
French Polynesia,86.62,84.19,81.9,4.719999999999999,84.25982114805015
Norway,84.97,83.46,81.94,3.030000000000001,83.44496586166454
Switzerland,85.95,84.09,82.17,3.780000000000001,84.05461019409105
United Arab Emirates,84.32,83.07,82.17,2.1499999999999915,83.23006264849712
Australia,85.85,84.07,82.28,3.569999999999993,84.05850032436683
Hong Kong,88.26,85.63,82.97,5.290000000000006,85.61932890498089
